罪種,認知件数_2025,認知件数_2024,増減,増減率
四国,,2.0,1.0,1.0
九州,,25.0,29.0,-4.0
九州,,11.0,19.0,-8.0
九州,,3.0,1.0,2.0
九州,,2.0,0.0,2.0
九州,,3.0,1.0,2.0
九州,,0.0,2.0,-2.0
九州,,0.0,1.0,-1.0
九州,,2.0,1.0,1.0
九州,,4.0,4.0,0.0
第６表,,,,
総数,,630.0,679.0,-49.0
北海道,,27.0,25.0,2.0
北海道,,17.0,15.0,2.0
北海道,,3.0,5.0,-2.0
北海道,,2.0,1.0,1.0
北海道,,3.0,2.0,1.0
北海道,,2.0,2.0,0.0
東北,,38.0,57.0,-19.0
東北,,8.0,9.0,-1.0
東北,,7.0,10.0,-3.0
東北,,5.0,12.0,-7.0
東北,,4.0,7.0,-3.0
東北,,6.0,9.0,-3.0
東北,,8.0,10.0,-2.0
東京都,,38.0,59.0,-21.0
関東,,176.0,163.0,13.0
関東,,5.0,15.0,-10.0
関東,,18.0,12.0,6.0
関東,,13.0,9.0,4.0
関東,,50.0,38.0,12.0
関東,,26.0,31.0,-5.0
関東,,25.0,31.0,-6.0
関東,,6.0,7.0,-1.0
関東,,3.0,3.0,0.0
関東,,7.0,5.0,2.0
関東,,23.0,12.0,11.0
中部,,52.0,67.0,-15.0
中部,,8.0,3.0,5.0
中部,,0.0,9.0,-9.0
中部,,4.0,3.0,1.0
中部,,4.0,12.0,-8.0
中部,,28.0,38.0,-10.0
中部,,8.0,2.0,6.0
近畿,,182.0,188.0,-6.0
近畿,,7.0,7.0,0.0
近畿,,9.0,14.0,-5.0
近畿,,131.0,124.0,7.0
近畿,,29.0,37.0,-8.0
近畿,,3.0,4.0,-1.0
近畿,,3.0,2.0,1.0
中国,,41.0,34.0,7.0
中国,,2.0,2.0,0.0
中国,,5.0,2.0,3.0
中国,,12.0,6.0,6.0
中国,,14.0,18.0,-4.0
中国,,8.0,6.0,2.0
四国,,16.0,23.0,-7.0
四国,,4.0,4.0,0.0
四国,,2.0,8.0,-6.0
四国,,4.0,6.0,-2.0
四国,,6.0,5.0,1.0
九州,,60.0,63.0,-3.0
九州,,31.0,22.0,9.0
九州,,1.0,2.0,-1.0
九州,,2.0,2.0,0.0
九州,,8.0,3.0,5.0
九州,,6.0,6.0,0.0
九州,,4.0,5.0,-1.0
九州,,3.0,14.0,-11.0
九州,,5.0,9.0,-4.0
第６表,,,,
総数,,3819.0,3609.0,210.0
北海道,,143.0,134.0,9.0
北海道,,105.0,90.0,15.0
北海道,,9.0,7.0,2.0
北海道,,6.0,7.0,-1.0
北海道,,14.0,22.0,-8.0
北海道,,9.0,8.0,1.0
東北,,242.0,253.0,-11.0
東北,,52.0,69.0,-17.0
東北,,29.0,38.0,-9.0
東北,,80.0,83.0,-3.0
東北,,15.0,17.0,-2.0
東北,,22.0,14.0,8.0
東北,,44.0,32.0,12.0
東京都,,589.0,549.0,40.0
関東,,913.0,799.0,114.0
関東,,71.0,58.0,13.0
関東,,45.0,28.0,17.0
関東,,44.0,47.0,-3.0
関東,,239.0,200.0,39.0
関東,,150.0,119.0,31.0
関東,,181.0,192.0,-11.0
関東,,45.0,43.0,2.0
関東,,21.0,13.0,8.0
関東,,35.0,32.0,3.0
関東,,82.0,67.0,15.0
中部,,416.0,445.0,-29.0
中部,,19.0,36.0,-17.0
中部,,24.0,31.0,-7.0
中部,,14.0,33.0,-19.0
中部,,46.0,45.0,1.0
中部,,268.0,262.0,6.0
中部,,45.0,38.0,7.0
近畿,,692.0,726.0,-34.0
近畿,,48.0,50.0,-2.0
近畿,,68.0,79.0,-11.0
近畿,,360.0,357.0,3.0
近畿,,155.0,183.0,-28.0
